CUSTOMERID,CUST_CONSTTYPE_ID,CUST_CATEGORYID,PROFESSION,AGE,SEX,MARITAL_STATUS,QUALIFICATION,NO_OF_DEPENDENT,OCCUPATION,POSITION,GROSS_INCOME,PRE_JOBYEARS,NETTAKEHOMEINCOME,BRANCH_PINCODE
12001334,1,5,,50,M,M,POSTGRAD,3,,,100948.6309,0,100948.6309,560095
12001335,1,4,,31,M,M,GRAD,0,,,79152.81846,,79152.81846,400070
12001336,1,4,,44,M,M,GRAD,0,,,6550.78412,,6550.779616,400070
12001337,1,5,,35,M,M,POSTGRAD,0,,,83210.07036,,83210.07036,110001
12001340,1,5,,54,M,M,PRF,2,,,43202.78924,0,43202.78924,411005
12001343,1,5,,46,M,M,GRAD,0,,,52545.353,15,52545.353,411005
12001345,1,4,,35,M,M,PRF,0,,,0,,0,411005
12001346,1,5,,34,M,S,GRAD,0,,,84857.7425,0,84857.7425,400070
12001348,1,4,,67,M,M,UG,2,,,445227.285,,445227.285,400070
12001363,4,8,,,,,,0,,,0,,0,400070
12001364,1,4,,52,M,M,GRAD,0,,,88487.87575,,88487.87575,400070
12001365,1,4,,51,M,M,GRAD,0,,,237539.3452,,237539.3452,411005
12001366,1,5,,33,M,M,GRAD,0,,,75064.79,,75064.79,110001
12001367,1,4,,44,M,M,GRAD,0,,,273788.3125,,273788.3125,411005
12001368,1,5,,30,M,M,PRF,2,,,65566.09147,0,65566.09147,411005
12001369,1,5,,33,M,M,GRAD,0,,,74683.46087,,74683.46087,411005
12001373,1,5,,41,M,M,POSTGRAD,0,,,72951.34084,,72951.34084,411005
12001374,1,5,,45,M,M,GRAD,0,,,69476.96703,,69476.96703,380015
12001376,1,4,,36,M,M,GRAD,0,,,57978.60255,,57978.60255,110001
12001377,1,4,,30,M,M,GRAD,1,,,54731.23968,,54731.23968,400070
12001379,1,5,,55,M,M,GRAD,0,,,64656.30622,,64656.30622,400070
12001381,1,4,,31,M,S,GRAD,0,,,209396.2343,,209396.2343,400070
12001383,1,4,,47,M,M,GRAD,0,,,400119.3514,,400119.3514,400070
12001384,1,4,,26,M,S,GRAD,0,,,392930.3965,,392930.3965,400070
12001385,1,4,,55,M,M,UG,1,,,67870.58053,,67870.58053,400070
12001386,1,4,,41,M,M,GRAD,1,,,140507.7752,,140507.7752,400070
12001388,1,4,,32,M,M,GRAD,0,,,49068.35193,,49068.35193,400070
12001389,1,4,,43,M,M,UG,2,,,192934.5258,,192934.5258,400070
12001392,1,4,,50,M,M,OTHERS,0,,,303536.4887,,303536.4887,411005
12001390,1,5,,35,M,M,POSTGRAD,0,,,39884.92552,,39884.92552,500034
12001394,1,4,,34,M,M,GRAD,0,,,646693.6749,,646693.6749,400070
12001396,4,8,,,,,,0,,,0,,0,400070
12001397,1,4,,59,M,M,UG,0,,,0.120103664,,0.124607551,400070
12001398,1,4,,48,M,M,GRAD,0,,,692525.2331,,692525.2331,400070
12001400,4,8,,,,,,0,,,0,,0,400070
12001401,1,4,,39,M,M,GRAD,2,,,70744.06069,,70744.06069,400070
12001402,1,4,,39,M,M,GRAD,2,,,538834.5795,,538834.5795,400070
12001403,1,5,,46,M,M,PRF,0,,,120103.664,0,120103.664,400070
12001404,1,5,,42,M,M,GRAD,1,,,123062.718,4,123062.718,400070
12001405,1,4,,47,F,M,GRAD,0,,,198041.9342,,198041.9342,411005
12001406,1,5,,45,M,M,GRAD,0,,,105402.9755,,105402.9755,411005
12001407,1,5,,23,F,M,GRAD,0,,,37503.87038,0,37503.87038,411005
12001408,1,5,,47,M,M,GRAD,0,,,75178.88848,0,75178.88848,560095
12001409,1,5,,35,M,M,GRAD,0,,,78067.3816,3,78067.3816,400070
12001410,1,5,,44,M,M,OTHERS,0,,,230181.6746,22,230181.6746,380015
12001413,1,4,,37,M,M,GRAD,0,,,349770.3942,,349770.3942,411005
12001414,1,5,,47,F,M,GRAD,0,,,34619.88115,,34619.88115,411005
12001417,1,5,,38,M,M,GRAD,0,,,127610.143,16,127610.143,380015
12001420,4,8,,,,,,0,,,0,,0,411005
12001421,1,4,,30,M,M,GRAD,0,,,57670.77686,,57670.77686,411005
12001422,1,4,,41,F,M,GRAD,0,,,93674.85274,,93674.85274,411005
12001423,1,5,,47,M,M,POSTGRAD,0,,,68933.49795,13,68933.49795,411005
12001425,1,4,,52,F,M,UG,0,,,143940.1127,,143940.1127,380015
12001426,1,4,,35,M,M,GRAD,0,,,282311.1687,,282311.1687,400070
12001429,1,4,,60,M,M,UG,3,,,190413.9103,,190413.9133,380015
12001430,1,4,,49,M,M,GRAD,0,,,35522.15992,,35522.15992,411005
12001431,1,4,,37,M,M,OTHERS,0,,,108980.5634,,108980.5634,560095
12001432,1,4,,46,M,M,GRAD,0,,,83928.4404,,83928.4404,400070
12001433,1,5,,30,M,M,POSTGRAD,0,,,190518.9409,0,190518.9409,400070
12001434,1,5,,42,M,M,POSTGRAD,0,,,79448.57374,3,79448.57374,400070
12001435,1,4,,24,M,S,GRAD,0,,,35415.56792,,35415.56792,400070
12001436,1,4,,48,M,M,UG,0,,,71473.69045,,71473.69045,400070
12001437,1,4,,51,M,M,PRF,0,,,107932.6589,,107932.6589,400070
12001440,1,5,,34,M,M,PRF,1,,,75057.28352,0,75057.28352,400070
12001441,1,5,,39,F,M,GRAD,0,,,41708.99992,0,41708.99992,400070
12001442,1,5,,41,M,M,GRAD,0,,,222067.1708,8,222067.1708,560095
12001443,1,4,,37,M,S,PRF,0,,,65706.52268,,65706.52268,400070
12001444,1,5,,28,M,M,GRAD,0,,SROF,51519.96797,,51519.96797,380015
12001445,1,4,,55,M,M,POSTGRAD,0,,,519272.6952,,519272.6952,400070
12001446,1,5,,29,M,S,GRAD,0,,OTH,25262.55965,,25262.55514,411005
12001447,1,4,,42,M,M,UG,0,,,637136.4259,,637136.4259,411005
12001448,1,5,,29,M,S,GRAD,0,,,53637.54569,,53637.54569,411005
12001449,1,5,,45,M,M,POSTGRAD,0,,,38604.69553,16,38604.69553,411005
12001450,1,5,,35,M,M,GRAD,0,,,41930.44105,,41930.44105,411005
12001452,1,4,,35,M,M,GRAD,0,,,97004.72682,,97004.72682,411005
12001451,1,4,,29,M,S,GRAD,0,,,32169.39108,,32169.39108,411005
12001454,4,8,,,,,,,,,0,,0,#N/A
12001455,1,6,,34,M,M,PRF,0,,,159776.9068,,159776.9068,560095
12001456,1,5,,35,M,M,POSTGRAD,0,,SM,70828.8839,0,70828.8839,400070
12001459,1,4,,25,M,S,GRAD,0,,,61949.46989,,61949.46989,400070
12001460,1,4,,35,M,M,GRAD,0,,,62414.87159,,62414.87159,400070
12001461,1,5,,45,M,M,POSTGRAD,0,,,315261.6089,5,315261.6089,560095
12001463,1,5,,29,F,M,POSTGRAD,0,,,107477.7663,4,107477.7663,560095
12001464,1,4,,41,F,M,GRAD,0,,,186435.4163,,186435.4163,400070
12001465,1,5,,47,M,M,GRAD,0,,,49256.38923,,49256.38923,411005
12001466,1,5,,33,M,M,PRF,0,,,71636.20572,,71636.20572,411005
12001468,1,4,,41,M,M,PRF,0,,,57942.5114,,57942.5114,400070
12001469,1,4,,40,M,M,GRAD,0,,,95674.57874,,95674.57874,560095
12001470,1,5,,34,M,M,GRAD,2,,,0,,0,400070
12001471,1,4,,52,M,M,UG,0,,,61201.82458,,61201.82458,411005
12001472,1,4,,44,M,M,UG,0,,,81112.82018,,81112.82018,560095
12001476,1,5,,27,M,S,POSTGRAD,2,,,52545.353,0,52545.353,400070
12001475,1,4,,43,F,M,GRAD,0,,,171778.2654,,171778.2654,400070
12001477,1,5,,28,M,S,GRAD,0,,,87050.76034,,87050.76034,411005
12001478,1,5,,42,M,M,GRAD,0,,,170871.4828,3,170871.4828,400070
12001479,1,4,,42,M,M,GRAD,0,,,12307.62297,,12307.62297,500034
12001482,1,5,,52,M,M,GRAD,0,,,41663.96104,,41663.96104,500034
12001483,1,6,,44,M,M,PRF,0,,,121094.5192,,121094.5192,400070
12001484,1,6,,46,F,M,PRF,2,,,811950.9419,,811950.9419,110001
12001485,1,4,,39,M,S,POSTGRAD,0,,,4669941.225,,4669941.225,400070
12001487,1,4,,57,M,M,UG,0,,,57468.59736,,57468.59736,380015
12001489,1,5,,29,M,S,POSTGRAD,0,,,176402.2565,0,176402.2565,400070
12001490,1,4,,48,M,M,GRAD,0,,,2817905.193,,2817905.193,400070
12001492,1,4,,60,M,M,GRAD,0,,,119228.4085,,119228.4085,400070
12001496,1,4,,47,M,M,POSTGRAD,0,,,539565.7105,,539565.7105,400070
12001497,1,5,,32,M,M,GRAD,0,,,73173.15729,5,73173.15729,560095
12001498,1,5,,34,M,M,PRF,0,,,259104.1382,,259104.1382,400070
12001499,1,4,,32,M,M,GRAD,0,,,100137.9312,,100137.9312,400070
